Month,Open,High,Low,Close
February-1999,,,,1015.70,
March-1999,,,,1118.44,
April-1999,,,,969.99,
May-1999,,,,1136.32,
June-1999,,,,1190.42,
July-1999,,,,1323.68,
August-1999,,1510.61,,1485.82,
September-1999,1489.39,1560.11,1417.88,1517.77,
October-1999,1527.40,1682.20,1424.53,1446.52,
November-1999,1456.31,1583.08,1348.70,1573.84,
December-1999,1575.02,1800.86,1561.62,1791.44,
January-2000,1856.69,1988.01,1801.75,1933.76,
February-2000,1957.00,2485.87,1928.68,2155.72,
March-2000,2177.90,2344.43,1859.93,1905.25,
April-2000,1931.72,1961.78,1482.46,1540.22,
May-2000,1545.03,1577.92,1247.40,1413.03,
June-2000,1406.24,1632.95,1383.15,1554.15,
July-2000,1578.11,1624.07,1323.73,1392.19,
August-2000,1397.49,1479.45,1319.76,1477.46,
September-2000,1503.62,1565.67,1308.09,1329.47,
October-2000,1311.00,1353.24,1136.71,1230.77,
November-2000,1242.65,1344.06,1238.64,1321.78,
December-2000,1313.23,1459.88,1236.83,1304.66,
January-2001,1310.04,1433.64,1294.74,1409.03,
February-2001,1401.69,1480.99,1299.04,1367.22,
March-2001,1376.59,1408.59,1049.65,1080.10,
April-2001,1052.34,1120.92,929.09,1072.62,
May-2001,1087.65,1175.89,1052.55,1137.03,
June-2001,1138.53,1146.41,1006.19,1050.43,
July-2001,1053.86,1059.73,981.33,1007.38,
August-2001,1010.34,1022.70,,986.25,
September-2001,986.22,990.55,788.51,850.56,
October-2001,850.67,923.38,819.70,902.84,
November-2001,908.04,1041.99,908.04,1011.26,
December-2001,1013.81,1093.14,955.18,1005.82,
January-2002,1006.48,1062.42,999.84,1033.45,
February-2002,1039.12,1209.71,1038.97,1132.98,
March-2002,1133.63,1199.77,1133.18,1164.68,
April-2002,1168.34,1230.53,1160.28,1182.01,
May-2002,1191.32,1225.98,1106.33,1132.92,
June-2002,1146.00,1226.02,1146.00,1180.90,
July-2002,1183.83,1225.10,1059.33,1082.24,
August-2002,1084.43,1136.38,1065.97,1126.92,
September-2002,1134.69,1141.01,1054.11,1055.57,
October-2002,1052.62,1090.32,1020.05,1054.14,
November-2002,1058.56,1131.02,1052.96,1130.20,
December-2002,1136.23,1184.93,1119.41,1176.73,
January-2003,1178.71,1201.57,1128.27,1143.43,
February-2003,1145.80,1174.51,1129.26,1161.63,
March-2003,1166.78,1173.80,1069.08,1071.45,
April-2003,1069.00,1138.98,1051.60,1068.03,
May-2003,1066.84,1244.67,1066.84,1235.76,
June-2003,1235.03,1384.60,1231.88,1373.56,
July-2003,1375.30,1460.23,1344.85,1439.30,
August-2003,1443.85,1699.05,1435.99,1687.35,
September-2003,1695.91,1778.88,1571.10,1748.43,
October-2003,1748.99,1910.74,1745.79,1877.14,
November-2003,1887.28,2008.57,1857.27,1991.74,
December-2003,2002.43,2401.09,2002.43,2366.36,
January-2004,2376.01,2571.71,2184.49,2246.83,
February-2004,2250.09,2399.61,2146.22,2228.41,
March-2004,2228.66,2378.91,2095.55,2243.60,
April-2004,2239.49,2474.60,2239.49,2321.25,
May-2004,2317.68,2382.27,1659.74,1891.75,
June-2004,1906.24,1993.92,1822.20,1923.78,
July-2004,1928.73,2090.78,1877.88,2081.26,
August-2004,2088.56,2129.30,2027.38,2125.65,
September-2004,2127.60,2285.18,2121.94,2276.87,
October-2004,2278.01,2387.60,2269.35,2319.30,
November-2004,2321.35,2561.28,2309.52,2548.36,
December-2004,2554.16,2784.18,2529.43,2779.65,
January-2005,2791.56,2838.71,2534.85,2726.49,
February-2005,2736.14,2841.93,2712.24,2825.65,
March-2005,2829.57,2944.26,2646.05,2734.66,
April-2005,2738.79,2807.53,2602.76,2610.50,
May-2005,2622.52,2843.04,2599.80,2829.20,
June-2005,2832.50,2953.59,2807.30,2928.31,
July-2005,2924.10,3151.47,2917.81,3124.78,
August-2005,3122.90,3307.47,3102.11,3273.00,
September-2005,3278.94,3558.54,3278.94,3521.83,
October-2005,3531.97,3608.16,3111.33,3198.69,
November-2005,3229.05,3655.53,3199.47,3568.37,
December-2005,3575.45,3806.22,3563.26,3795.96,
January-2006,3803.63,4035.27,3752.19,4004.96,
February-2006,4016.71,4148.23,3936.93,4130.07,
March-2006,4130.14,4537.76,4122.82,4516.73,
April-2006,4538.13,4835.21,4413.61,4829.73,
May-2006,4855.61,5069.58,3873.67,4157.93,
June-2006,4185.41,4232.52,3360.85,4029.97,
July-2006,4037.29,4130.70,3684.70,4029.43,
August-2006,4028.19,4475.36,3986.79,4423.88,
September-2006,4426.74,4748.85,4365.30,4739.67,
October-2006,4750.37,5005.57,4666.50,4957.37,
November-2006,4966.11,5272.95,4958.71,5227.73,
December-2006,5241.02,5354.58,4848.24,5270.76,
January-2007,5269.98,5510.76,5132.87,5408.71,
February-2007,5425.12,5616.67,4878.86,4938.08,
March-2007,4955.28,5046.53,4656.90,4955.39,
April-2007,4877.65,5451.33,4732.42,5311.03,
May-2007,5354.63,5674.28,5230.55,5646.90,
June-2007,5669.80,5783.39,5417.54,5781.37,
July-2007,5796.78,6217.40,5785.60,6063.20,
August-2007,6016.93,6077.57,5390.71,5950.11,
September-2007,5975.41,6788.10,5961.64,6773.54,
October-2007,6792.93,7842.22,6655.49,7785.22,
November-2007,7880.34,8057.52,7296.63,7865.98,
December-2007,7943.25,8616.65,7907.29,8592.43,
January-2008,8620.10,8991.42,6124.82,7160.03,
February-2008,7216.35,7589.57,6603.60,7108.12,
March-2008,6991.67,6991.67,5773.51,6157.27,
April-2008,6197.26,6965.79,6024.18,6885.03,
May-2008,6977.67,7066.27,6427.23,6474.97,
June-2008,6525.63,6540.45,5199.65,5215.37,
July-2008,5224.80,5783.45,4862.30,5525.77,
August-2008,5441.26,5993.16,5424.47,5631.51,
September-2008,5588.18,5821.90,4650.37,4897.59,
